"","playerID","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","W","L","G.1","GS","CG","SHO","SV","IPouts","H.1","ER","HR.1","BB.1","SO.1","BAOpp","ERA","IBB.1","WP","HBP.1","BK","BFP","GF","R.1","SH.1","SF.1","GIDP.1","POS"
"241","soriajo01",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,1,80,23,6,0,8,28,0.237,2.03,0,5,0,0,107,5,7,0,1,2,"P"
"242","soriajo01",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,43,0,0,0,23,123,32,13,8,11,36,0.212,2.85,1,0,2,0,165,35,13,1,0,3,"P"
"243","soriajo01",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,43,0,0,0,23,123,32,13,8,11,36,0.212,2.85,1,0,2,0,165,35,13,1,0,3,"P"
"244","soriajo01",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,1,80,23,6,0,8,28,0.237,2.03,0,5,0,0,107,5,7,0,1,2,"P"
"245","soriajo01",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,1,80,23,6,0,8,28,0.237,2.03,0,5,0,0,107,5,7,0,1,2,"P"
"246","soriajo01",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,43,0,0,0,23,123,32,13,8,11,36,0.212,2.85,1,0,2,0,165,35,13,1,0,3,"P"
"247","soriajo01",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,43,0,0,0,23,123,32,13,8,11,36,0.212,2.85,1,0,2,0,165,35,13,1,0,3,"P"
"253","oberhbr01",8,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,2,8,8,0,0,0,115,44,19,4,17,27,0.293,4.46,0,2,1,0,171,0,21,1,2,5,"P"
"254","quallch01",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,60,0,0,0,4,148,46,24,6,9,46,0.247,4.38,1,3,2,0,202,17,24,1,4,2,"P"
"255","colemlo01",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,9,1,0,0,2,1,0.111,0,0,0,0,0,11,2,0,0,0,1,"P"
